DNI;PLAZOMESESCREDITO;HISTORIALCREDITO;PROPOSITOCREDITO;MONTOCREDITO;SALDOCUENTAAHORROS;TIEMPOEMPLEO;TASAPAGO;ESTADOCIVILYSEXO;GARANTE;AVALUOVIVIENDA;ACTIVOS;EDAD;VIVIENDA;CANTIDADCREDITOSEXISTENTES;EMPLEO;TRABAJADOREXTRANJERO;TIPOCLIENTE
104600248;6;A30;A40;1204.0;A62;A73;4.0;A93;A101;1.0;A124;35;A151;1;A173;A202;1
104600249;24;A32;A42;1925.0;A61;A73;2.0;A93;A101;2.0;A121;26;A152;1;A173;A201;1
104600250;18;A32;A43;433.0;A61;A71;3.0;A92;A102;4.0;A121;22;A151;1;A173;A201;2
104600251;6;A34;A40;666.0;A64;A74;3.0;A92;A101;4.0;A121;39;A152;2;A172;A201;1
104600252;12;A32;A42;2251.0;A61;A73;1.0;A92;A101;2.0;A123;46;A152;1;A172;A201;1
104600253;30;A32;A40;2150.0;A61;A73;4.0;A92;A103;2.0;A124;24;A152;1;A173;A201;2
104600254;24;A33;A42;4151.0;A62;A73;2.0;A93;A101;3.0;A122;35;A152;2;A173;A201;1
104600255;9;A32;A42;2030.0;A65;A74;2.0;A93;A101;1.0;A123;24;A152;1;A173;A201;1
104600256;60;A33;A43;7418.0;A65;A73;1.0;A93;A101;1.0;A121;27;A152;1;A172;A201;1
104600257;24;A34;A43;2684.0;A61;A73;4.0;A93;A101;2.0;A121;35;A152;2;A172;A201;1
104600258;12;A31;A43;2149.0;A61;A73;4.0;A91;A101;1.0;A124;29;A153;1;A173;A201;2
104600259;15;A32;A41;3812.0;A62;A72;1.0;A92;A101;4.0;A123;23;A152;1;A173;A201;1
104600260;11;A34;A43;1154.0;A62;A71;4.0;A92;A101;4.0;A121;57;A152;3;A172;A201;1
104600261;12;A32;A42;1657.0;A61;A73;2.0;A93;A101;2.0;A121;27;A152;1;A173;A201;1
104600262;24;A32;A43;1603.0;A61;A75;4.0;A92;A101;4.0;A123;55;A152;1;A173;A201;1
104600263;18;A34;A40;5302.0;A61;A75;2.0;A93;A101;4.0;A124;36;A153;3;A174;A201;1
104600264;12;A34;A46;2748.0;A61;A75;2.0;A92;A101;4.0;A124;57;A153;3;A172;A201;1
104600265;10;A34;A40;1231.0;A61;A75;3.0;A93;A101;4.0;A121;32;A152;2;A172;A202;1
104600266;15;A32;A43;802.0;A61;A75;4.0;A93;A101;3.0;A123;37;A152;1;A173;A201;2
104600267;36;A34;A49;6304.0;A65;A75;4.0;A93;A101;4.0;A121;36;A152;2;A173;A201;1
104600268;24;A32;A43;1533.0;A61;A72;4.0;A92;A101;3.0;A123;38;A152;1;A173;A201;1
104600269;14;A32;A40;8978.0;A61;A75;1.0;A91;A101;4.0;A122;45;A152;1;A174;A202;2
104600270;24;A32;A43;999.0;A65;A75;4.0;A93;A101;2.0;A123;25;A152;2;A173;A201;1
104600271;18;A32;A40;2662.0;A65;A74;4.0;A93;A101;3.0;A122;32;A152;1;A173;A202;1
104600272;12;A34;A42;1402.0;A63;A74;3.0;A92;A101;4.0;A123;37;A151;1;A173;A201;1
104600273;48;A31;A40;12169.0;A65;A71;4.0;A93;A102;4.0;A124;36;A153;1;A174;A201;1
104600274;48;A32;A43;3060.0;A61;A74;4.0;A93;A101;4.0;A121;28;A152;2;A173;A201;2
104600275;30;A32;A45;11998.0;A61;A72;1.0;A91;A101;1.0;A124;34;A152;1;A172;A201;2
104600276;9;A32;A43;2697.0;A61;A73;1.0;A93;A101;2.0;A121;32;A152;1;A173;A201;1
104600277;18;A34;A43;2404.0;A61;A73;2.0;A92;A101;2.0;A123;26;A152;2;A173;A201;1
104600278;12;A32;A42;1262.0;A65;A75;2.0;A91;A101;4.0;A122;49;A152;1;A172;A201;1
104600279;6;A32;A42;4611.0;A61;A72;1.0;A92;A101;4.0;A122;32;A152;1;A173;A201;2
104600280;24;A32;A43;1901.0;A62;A73;4.0;A93;A101;4.0;A123;29;A151;1;A174;A201;1
104600281;15;A34;A41;3368.0;A64;A75;3.0;A93;A101;4.0;A124;23;A151;2;A173;A201;1
104600282;12;A32;A42;1574.0;A61;A73;4.0;A93;A101;2.0;A121;50;A152;1;A173;A201;1
104600283;18;A31;A43;1445.0;A65;A74;4.0;A93;A101;4.0;A123;49;A152;1;A172;A201;1
104600284;15;A34;A42;1520.0;A65;A75;4.0;A93;A101;4.0;A122;63;A152;1;A173;A201;1
104600285;24;A34;A40;3878.0;A62;A72;4.0;A91;A101;2.0;A123;37;A152;1;A173;A201;1
104600286;47;A32;A40;10722.0;A61;A72;1.0;A92;A101;1.0;A121;35;A152;1;A172;A201;1
104600287;48;A32;A41;4788.0;A61;A74;4.0;A93;A101;3.0;A122;26;A152;1;A173;A201;1
104600288;48;A33;A410;7582.0;A62;A71;2.0;A93;A101;4.0;A124;31;A153;1;A174;A201;1
104600289;12;A32;A43;1092.0;A61;A73;4.0;A92;A103;4.0;A121;49;A152;2;A173;A201;1
104600290;24;A33;A43;1024.0;A61;A72;4.0;A94;A101;4.0;A121;48;A152;1;A173;A201;2
104600291;12;A32;A49;1076.0;A61;A73;2.0;A94;A101;2.0;A121;26;A152;1;A173;A202;1
104600292;36;A32;A41;9398.0;A61;A72;1.0;A94;A101;4.0;A123;28;A151;1;A174;A201;2
104600293;24;A34;A41;6419.0;A61;A75;2.0;A92;A101;4.0;A124;44;A153;2;A174;A201;1
104600294;42;A34;A41;4796.0;A61;A75;4.0;A93;A101;4.0;A124;56;A153;1;A173;A201;1
104600295;48;A34;A49;7629.0;A65;A75;4.0;A91;A101;2.0;A123;46;A152;2;A174;A201;1
104600296;48;A32;A42;9960.0;A61;A72;1.0;A92;A101;2.0;A123;26;A152;1;A173;A201;2
104600297;12;A32;A41;4675.0;A65;A72;1.0;A92;A101;4.0;A123;20;A151;1;A173;A201;1
104600298;10;A32;A40;1287.0;A65;A75;4.0;A93;A102;2.0;A122;45;A152;1;A172;A202;1
104600299;18;A32;A42;2515.0;A61;A73;3.0;A93;A101;4.0;A121;43;A152;1;A173;A201;1
104600300;21;A34;A42;2745.0;A64;A74;3.0;A93;A101;2.0;A123;32;A152;2;A173;A201;1
104600301;6;A32;A40;672.0;A61;A71;1.0;A92;A101;4.0;A121;54;A152;1;A171;A201;1
104600302;36;A30;A43;3804.0;A61;A73;4.0;A92;A101;1.0;A123;42;A152;1;A173;A201;2
104600303;24;A34;A40;1344.0;A65;A74;4.0;A93;A101;2.0;A121;37;A152;2;A172;A201;2
104600304;10;A34;A40;1038.0;A61;A74;4.0;A93;A102;3.0;A122;49;A152;2;A173;A201;1
104600305;48;A34;A40;10127.0;A63;A73;2.0;A93;A101;2.0;A124;44;A153;1;A173;A201;2
104600306;6;A32;A42;1543.0;A64;A73;4.0;A91;A101;2.0;A121;33;A152;1;A173;A201;1
104600307;30;A32;A41;4811.0;A65;A74;2.0;A92;A101;4.0;A122;24;A151;1;A172;A201;1
104600308;12;A32;A43;727.0;A62;A72;4.0;A94;A101;3.0;A124;33;A152;1;A172;A201;2
104600309;8;A32;A42;1237.0;A61;A73;3.0;A92;A101;4.0;A121;24;A152;1;A173;A201;2
104600310;9;A32;A40;276.0;A61;A73;4.0;A94;A101;4.0;A121;22;A151;1;A172;A201;1
104600311;48;A32;A410;5381.0;A65;A71;3.0;A93;A101;4.0;A124;40;A153;1;A171;A201;1
104600312;24;A32;A42;5511.0;A62;A73;4.0;A93;A101;1.0;A123;25;A152;1;A173;A201;1
104600313;24;A32;A42;3749.0;A61;A72;2.0;A92;A101;4.0;A123;26;A152;1;A173;A201;1
104600314;12;A32;A40;685.0;A61;A74;2.0;A94;A101;3.0;A123;25;A152;1;A172;A201;2
104600315;4;A32;A40;1494.0;A65;A72;1.0;A93;A101;2.0;A121;29;A152;1;A172;A202;1
104600316;36;A31;A42;2746.0;A61;A75;4.0;A93;A101;4.0;A123;31;A152;1;A173;A201;2
104600317;12;A32;A42;708.0;A61;A73;2.0;A93;A103;3.0;A122;38;A152;1;A172;A201;1
104600318;24;A32;A42;4351.0;A65;A73;1.0;A92;A101;4.0;A122;48;A152;1;A172;A201;1
104600319;12;A34;A46;701.0;A61;A73;4.0;A93;A101;2.0;A123;32;A152;2;A173;A201;1
104600320;15;A33;A42;3643.0;A61;A75;1.0;A92;A101;4.0;A122;27;A152;2;A172;A201;1
104600321;30;A34;A40;4249.0;A61;A71;4.0;A94;A101;2.0;A123;28;A152;2;A174;A201;2
104600322;24;A32;A43;1938.0;A61;A72;4.0;A91;A101;3.0;A122;32;A152;1;A173;A201;2
104600323;24;A32;A41;2910.0;A61;A74;2.0;A93;A101;1.0;A124;34;A153;1;A174;A201;1
104600324;18;A32;A42;2659.0;A64;A73;4.0;A93;A101;2.0;A123;28;A152;1;A173;A201;1
104600325;18;A34;A40;1028.0;A61;A73;4.0;A92;A101;3.0;A121;36;A152;2;A173;A201;1
104600326;8;A34;A40;3398.0;A61;A74;1.0;A93;A101;4.0;A121;39;A152;2;A172;A202;1
104600327;12;A34;A42;5801.0;A65;A75;2.0;A93;A101;4.0;A122;49;A151;1;A173;A201;1
104600328;24;A32;A40;1525.0;A64;A74;4.0;A92;A101;3.0;A123;34;A152;1;A173;A201;1
104600329;36;A32;A43;4473.0;A61;A75;4.0;A93;A101;2.0;A123;31;A152;1;A173;A201;1
104600330;6;A32;A43;1068.0;A61;A75;4.0;A93;A101;4.0;A123;28;A152;1;A173;A201;1
104600331;24;A34;A41;6615.0;A61;A71;2.0;A93;A101;4.0;A124;75;A153;2;A174;A201;1
104600332;18;A34;A46;1864.0;A62;A73;4.0;A92;A101;2.0;A121;30;A152;2;A173;A201;2
104600333;60;A32;A40;7408.0;A62;A72;4.0;A92;A101;2.0;A122;24;A152;1;A174;A201;2
104600334;48;A34;A41;11590.0;A62;A73;2.0;A92;A101;4.0;A123;24;A151;2;A172;A201;2
104600335;24;A30;A42;4110.0;A61;A75;3.0;A93;A101;4.0;A124;23;A151;2;A173;A201;2
104600336;6;A34;A42;3384.0;A61;A73;1.0;A91;A101;4.0;A121;44;A151;1;A174;A201;2
104600337;13;A32;A43;2101.0;A61;A72;2.0;A92;A103;4.0;A122;23;A152;1;A172;A201;1
104600338;15;A32;A44;1275.0;A65;A73;4.0;A92;A101;2.0;A123;24;A151;1;A173;A201;2
104600339;24;A32;A42;4169.0;A61;A73;4.0;A93;A101;4.0;A122;28;A152;1;A173;A201;1
104600340;10;A32;A42;1521.0;A61;A73;4.0;A91;A101;2.0;A123;31;A152;1;A172;A201;1
104600341;24;A34;A46;5743.0;A61;A72;2.0;A92;A101;4.0;A124;24;A153;2;A173;A201;1
104600342;21;A32;A42;3599.0;A61;A74;1.0;A92;A101;4.0;A123;26;A151;1;A172;A201;1
104600343;18;A32;A43;3213.0;A63;A72;1.0;A94;A101;3.0;A121;25;A151;1;A173;A201;1
104600344;18;A32;A49;4439.0;A61;A75;1.0;A93;A102;1.0;A121;33;A152;1;A174;A201;1
104600345;10;A32;A40;3949.0;A61;A72;1.0;A93;A103;1.0;A122;37;A152;1;A172;A201;1
104600346;15;A34;A43;1459.0;A61;A73;4.0;A92;A101;2.0;A123;43;A152;1;A172;A201;1
104600347;13;A34;A43;882.0;A61;A72;4.0;A93;A103;4.0;A121;23;A152;2;A173;A201;1
104600348;24;A32;A43;3758.0;A63;A71;1.0;A92;A101;4.0;A124;23;A151;1;A171;A201;1
104600349;6;A33;A49;1743.0;A62;A73;1.0;A93;A101;2.0;A121;34;A152;2;A172;A201;1
104600350;9;A34;A46;1136.0;A64;A75;4.0;A93;A101;3.0;A124;32;A153;2;A173;A201;2
104600351;9;A32;A44;1236.0;A61;A72;1.0;A92;A101;4.0;A121;23;A151;1;A173;A201;1
104600352;9;A32;A42;959.0;A61;A73;1.0;A92;A101;2.0;A123;29;A152;1;A173;A202;2
104600353;18;A34;A41;3229.0;A65;A71;2.0;A93;A101;4.0;A124;38;A152;1;A174;A201;1
104600354;12;A30;A43;6199.0;A61;A73;4.0;A93;A101;2.0;A122;28;A151;2;A173;A201;2
104600355;10;A32;A46;727.0;A63;A75;4.0;A93;A101;4.0;A124;46;A153;1;A173;A201;1
104600356;24;A32;A40;1246.0;A61;A72;4.0;A93;A101;2.0;A121;23;A152;1;A172;A201;2
104600357;12;A34;A43;2331.0;A65;A75;1.0;A93;A102;4.0;A121;49;A152;1;A173;A201;1
104600358;36;A33;A43;4463.0;A61;A73;4.0;A93;A101;2.0;A123;26;A152;2;A174;A201;2
104600359;12;A32;A43;776.0;A61;A73;4.0;A94;A101;2.0;A121;28;A152;1;A173;A201;1
104600360;30;A32;A42;2406.0;A61;A74;4.0;A92;A101;4.0;A121;23;A151;1;A173;A201;2
104600361;18;A32;A46;1239.0;A65;A73;4.0;A93;A101;4.0;A124;61;A153;1;A173;A201;1
104600362;12;A32;A43;3399.0;A65;A75;2.0;A93;A101;3.0;A123;37;A152;1;A174;A201;1
104600363;12;A33;A40;2247.0;A61;A73;2.0;A92;A101;2.0;A123;36;A152;2;A173;A201;1
104600364;6;A32;A42;1766.0;A61;A73;1.0;A94;A101;2.0;A122;21;A151;1;A173;A201;1
104600365;18;A32;A42;2473.0;A61;A71;4.0;A93;A101;1.0;A123;25;A152;1;A171;A201;2
104600366;12;A32;A49;1542.0;A61;A74;2.0;A93;A101;4.0;A123;36;A152;1;A173;A201;1
104600367;18;A34;A41;3850.0;A61;A74;3.0;A93;A101;1.0;A123;27;A152;2;A173;A201;1
104600368;18;A32;A42;3650.0;A61;A72;1.0;A92;A101;4.0;A123;22;A151;1;A173;A201;1
104600369;36;A32;A42;3446.0;A61;A75;4.0;A93;A101;2.0;A123;42;A152;1;A173;A201;2
104600370;18;A32;A42;3001.0;A61;A74;2.0;A92;A101;4.0;A121;40;A151;1;A173;A201;1
104600371;36;A32;A40;3079.0;A65;A73;4.0;A93;A101;4.0;A121;36;A152;1;A173;A201;1
104600372;18;A34;A43;6070.0;A61;A75;3.0;A93;A101;4.0;A123;33;A152;2;A173;A201;1
104600373;10;A34;A42;2146.0;A61;A72;1.0;A92;A101;3.0;A121;23;A151;2;A173;A201;1
104600374;60;A34;A40;13756.0;A65;A75;2.0;A93;A101;4.0;A124;63;A153;1;A174;A201;1
104600375;60;A31;A410;14782.0;A62;A75;3.0;A92;A101;4.0;A124;60;A153;2;A174;A201;2
104600376;48;A31;A49;7685.0;A61;A74;2.0;A92;A103;4.0;A123;37;A151;1;A173;A201;2
104600377;18;A33;A43;2320.0;A61;A71;2.0;A94;A101;3.0;A121;34;A152;2;A173;A201;1
104600378;7;A33;A43;846.0;A65;A75;3.0;A93;A101;4.0;A124;36;A153;1;A173;A201;1
104600379;36;A32;A40;14318.0;A61;A75;4.0;A93;A101;2.0;A124;57;A153;1;A174;A201;2
104600380;6;A34;A40;362.0;A62;A73;4.0;A92;A101;4.0;A123;52;A152;2;A172;A201;1
104600381;20;A32;A42;2212.0;A65;A74;4.0;A93;A101;4.0;A123;39;A152;1;A173;A201;1
104600382;18;A32;A41;12976.0;A61;A71;3.0;A92;A101;4.0;A124;38;A153;1;A174;A201;2
104600383;22;A32;A40;1283.0;A65;A74;4.0;A92;A101;4.0;A122;25;A151;1;A173;A201;1
104600384;12;A32;A40;1330.0;A61;A72;4.0;A93;A101;1.0;A121;26;A152;1;A173;A201;1
104600385;30;A33;A49;4272.0;A62;A73;2.0;A93;A101;2.0;A122;26;A152;2;A172;A201;1
104600386;18;A34;A43;2238.0;A61;A73;2.0;A92;A101;1.0;A123;25;A152;2;A173;A201;1
104600387;18;A32;A43;1126.0;A65;A72;4.0;A92;A101;2.0;A121;21;A151;1;A173;A201;1
104600388;18;A34;A42;7374.0;A61;A71;4.0;A93;A101;4.0;A122;40;A152;2;A174;A201;1
104600389;15;A34;A49;2326.0;A63;A73;2.0;A93;A101;4.0;A123;27;A152;1;A173;A201;1
104600390;9;A32;A49;1449.0;A61;A74;3.0;A92;A101;2.0;A123;27;A152;2;A173;A201;1
104600391;18;A32;A40;1820.0;A61;A73;2.0;A94;A101;2.0;A122;30;A152;1;A174;A201;1
104600392;12;A32;A42;983.0;A64;A72;1.0;A92;A101;4.0;A121;19;A151;1;A172;A201;1
104600393;36;A32;A40;3249.0;A61;A74;2.0;A93;A101;4.0;A124;39;A153;1;A174;A201;1
104600394;6;A34;A43;1957.0;A61;A74;1.0;A92;A101;4.0;A123;31;A152;1;A173;A201;1
104600395;9;A34;A42;2406.0;A61;A71;2.0;A93;A101;3.0;A123;31;A152;1;A174;A201;1
104600396;39;A33;A46;11760.0;A62;A74;2.0;A93;A101;3.0;A124;32;A151;1;A173;A201;1
104600397;12;A32;A42;2578.0;A61;A71;3.0;A92;A101;4.0;A124;55;A153;1;A174;A201;1
104600398;36;A34;A42;2348.0;A61;A73;3.0;A94;A101;2.0;A122;46;A152;2;A173;A201;1
104600399;12;A32;A40;1223.0;A61;A75;1.0;A91;A101;1.0;A121;46;A151;2;A173;A201;2
104600400;24;A34;A43;1516.0;A64;A73;4.0;A92;A101;1.0;A121;43;A152;2;A172;A201;1
104600401;18;A32;A43;1473.0;A61;A72;3.0;A94;A101;4.0;A121;39;A152;1;A173;A201;1
104600402;18;A34;A49;1887.0;A65;A73;4.0;A94;A101;4.0;A121;28;A152;2;A173;A201;1
104600403;24;A33;A49;8648.0;A61;A72;2.0;A93;A101;2.0;A123;27;A152;2;A173;A201;2
104600404;14;A33;A40;802.0;A61;A73;4.0;A93;A101;2.0;A123;27;A152;2;A172;A201;1
104600405;18;A33;A40;2899.0;A65;A75;4.0;A93;A101;4.0;A123;43;A152;1;A173;A201;1
104600406;24;A32;A43;2039.0;A61;A72;1.0;A94;A101;1.0;A122;22;A152;1;A173;A201;2
104600407;24;A34;A41;2197.0;A65;A74;4.0;A93;A101;4.0;A123;43;A152;2;A173;A201;1
104600408;15;A32;A43;1053.0;A61;A72;4.0;A94;A101;2.0;A121;27;A152;1;A173;A202;1
104600409;24;A32;A43;3235.0;A63;A75;3.0;A91;A101;2.0;A123;26;A152;1;A174;A201;1
104600410;12;A34;A40;939.0;A63;A74;4.0;A94;A101;2.0;A121;28;A152;3;A173;A201;2
104600411;24;A32;A43;1967.0;A61;A75;4.0;A92;A101;4.0;A123;20;A152;1;A173;A201;1
104600412;33;A34;A41;7253.0;A61;A74;3.0;A93;A101;2.0;A123;35;A152;2;A174;A201;1
104600413;12;A34;A49;2292.0;A61;A71;4.0;A93;A101;2.0;A123;42;A152;2;A174;A201;2
104600414;10;A32;A40;1597.0;A63;A73;3.0;A93;A101;2.0;A124;40;A151;1;A172;A202;1
104600415;24;A32;A40;1381.0;A65;A73;4.0;A92;A101;2.0;A122;35;A152;1;A173;A201;2
104600416;36;A34;A41;5842.0;A61;A75;2.0;A93;A101;2.0;A122;35;A152;2;A173;A201;1
104600417;12;A32;A40;2579.0;A61;A72;4.0;A93;A101;1.0;A121;33;A152;1;A172;A201;2
104600418;18;A33;A46;8471.0;A65;A73;1.0;A92;A101;2.0;A123;23;A151;2;A173;A201;1
104600419;21;A32;A40;2782.0;A63;A74;1.0;A92;A101;2.0;A123;31;A152;1;A174;A201;1
104600420;18;A32;A40;1042.0;A65;A73;4.0;A92;A101;2.0;A122;33;A152;1;A173;A201;2
104600421;15;A32;A40;3186.0;A64;A74;2.0;A92;A101;3.0;A123;20;A151;1;A173;A201;1
104600422;12;A32;A41;2028.0;A65;A73;4.0;A93;A101;2.0;A123;30;A152;1;A173;A201;1
104600423;12;A34;A40;958.0;A61;A74;2.0;A93;A101;3.0;A121;47;A152;2;A172;A201;1
104600424;21;A33;A42;1591.0;A62;A74;4.0;A93;A101;3.0;A121;34;A152;2;A174;A201;1
104600425;12;A32;A42;2762.0;A65;A75;1.0;A92;A101;2.0;A122;25;A152;1;A173;A201;2
104600426;18;A32;A41;2779.0;A61;A73;1.0;A94;A101;3.0;A123;21;A151;1;A173;A201;1
104600427;28;A34;A43;2743.0;A61;A75;4.0;A93;A101;2.0;A123;29;A152;2;A173;A201;1
104600428;18;A34;A43;1149.0;A64;A73;4.0;A93;A101;3.0;A121;46;A152;2;A173;A201;1
104600429;9;A32;A42;1313.0;A61;A75;1.0;A93;A101;4.0;A123;20;A152;1;A173;A201;1
104600430;18;A34;A45;1190.0;A61;A71;2.0;A92;A101;4.0;A124;55;A153;3;A171;A201;2
104600431;5;A32;A49;3448.0;A61;A74;1.0;A93;A101;4.0;A121;74;A152;1;A172;A201;1
104600432;24;A32;A410;11328.0;A61;A73;2.0;A93;A102;3.0;A123;29;A152;2;A174;A201;2
104600433;6;A34;A42;1872.0;A61;A71;4.0;A93;A101;4.0;A124;36;A153;3;A174;A201;1
104600434;24;A34;A45;2058.0;A61;A73;4.0;A91;A101;2.0;A121;33;A152;2;A173;A201;1
104600435;9;A32;A42;2136.0;A61;A73;3.0;A93;A101;2.0;A121;25;A152;1;A173;A201;1
104600436;12;A32;A43;1484.0;A65;A73;2.0;A94;A101;1.0;A121;25;A152;1;A173;A201;2
104600437;6;A32;A45;660.0;A63;A74;2.0;A94;A101;4.0;A121;23;A151;1;A172;A201;1
104600438;24;A34;A40;1287.0;A64;A75;4.0;A92;A101;4.0;A121;37;A152;2;A173;A201;1
104600439;42;A34;A45;3394.0;A61;A71;4.0;A93;A102;4.0;A123;65;A152;2;A171;A201;1
104600440;12;A31;A49;609.0;A61;A72;4.0;A92;A101;1.0;A121;26;A152;1;A171;A201;2
104600441;12;A32;A40;1884.0;A61;A75;4.0;A93;A101;4.0;A123;39;A152;1;A174;A201;1
104600442;12;A32;A42;1620.0;A61;A73;2.0;A92;A102;3.0;A122;30;A152;1;A173;A201;1
104600443;20;A33;A410;2629.0;A61;A73;2.0;A93;A101;3.0;A123;29;A152;2;A173;A201;1
104600444;12;A32;A46;719.0;A61;A75;4.0;A93;A101;4.0;A123;41;A152;1;A172;A201;2
104600445;48;A34;A42;5096.0;A61;A73;2.0;A92;A101;3.0;A123;30;A152;1;A174;A201;2
104600446;9;A34;A46;1244.0;A65;A75;4.0;A92;A101;4.0;A122;41;A151;2;A172;A201;1
104600447;36;A32;A40;1842.0;A61;A72;4.0;A92;A101;4.0;A123;34;A152;1;A173;A201;2
104600448;7;A32;A43;2576.0;A61;A73;2.0;A93;A103;2.0;A121;35;A152;1;A173;A201;1
104600449;12;A32;A42;1424.0;A65;A75;3.0;A92;A101;4.0;A121;55;A152;1;A174;A201;1
104600450;15;A33;A45;1512.0;A64;A73;3.0;A94;A101;3.0;A122;61;A152;2;A173;A201;2
104600451;36;A34;A41;11054.0;A65;A73;4.0;A93;A101;2.0;A123;30;A152;1;A174;A201;1
104600452;6;A32;A43;518.0;A61;A73;3.0;A92;A101;1.0;A121;29;A152;1;A173;A201;1
104600453;12;A30;A42;2759.0;A61;A75;2.0;A93;A101;4.0;A122;34;A152;2;A173;A201;1
104600454;24;A32;A41;2670.0;A61;A75;4.0;A93;A101;4.0;A123;35;A152;1;A174;A201;1
104600455;24;A32;A40;4817.0;A61;A74;2.0;A93;A102;3.0;A122;31;A152;1;A173;A201;2
104600456;24;A32;A41;2679.0;A61;A72;4.0;A92;A101;1.0;A124;29;A152;1;A174;A201;1
104600457;11;A34;A40;3905.0;A61;A73;2.0;A93;A101;2.0;A121;36;A151;2;A173;A201;1
104600458;12;A32;A41;3386.0;A61;A75;3.0;A93;A101;4.0;A124;35;A153;1;A173;A201;2
104600459;6;A32;A44;343.0;A61;A72;4.0;A92;A101;1.0;A121;27;A152;1;A173;A201;1
104600460;18;A32;A43;4594.0;A61;A72;3.0;A93;A101;2.0;A123;32;A152;1;A173;A201;1
104600461;36;A32;A42;3620.0;A61;A73;1.0;A93;A103;2.0;A122;37;A152;1;A173;A201;1
104600462;15;A32;A40;1721.0;A61;A72;2.0;A93;A101;3.0;A121;36;A152;1;A173;A201;1
104600463;12;A32;A42;3017.0;A61;A72;3.0;A92;A101;1.0;A121;34;A151;1;A174;A201;1
104600464;12;A32;A48;754.0;A65;A75;4.0;A93;A101;4.0;A122;38;A152;2;A173;A201;1
104600465;18;A32;A49;1950.0;A61;A74;4.0;A93;A101;1.0;A123;34;A152;2;A173;A201;1
104600466;24;A32;A41;2924.0;A61;A73;3.0;A93;A103;4.0;A124;63;A152;1;A173;A201;1
104600467;24;A33;A43;1659.0;A61;A72;4.0;A92;A101;2.0;A123;29;A151;1;A172;A201;2
104600468;48;A33;A43;7238.0;A65;A75;3.0;A93;A101;3.0;A123;32;A152;2;A173;A201;1
104600469;33;A33;A49;2764.0;A61;A73;2.0;A92;A101;2.0;A123;26;A152;2;A173;A201;1
104600470;24;A33;A41;4679.0;A61;A74;3.0;A93;A101;3.0;A123;35;A152;2;A172;A201;1
104600471;24;A32;A43;3092.0;A62;A72;3.0;A94;A101;2.0;A123;22;A151;1;A173;A201;2
104600472;6;A32;A46;448.0;A61;A72;4.0;A92;A101;4.0;A122;23;A152;1;A173;A201;2
104600473;9;A32;A40;654.0;A61;A73;4.0;A93;A101;3.0;A123;28;A152;1;A172;A201;2
104600474;6;A32;A48;1238.0;A65;A71;4.0;A93;A101;4.0;A122;36;A152;1;A174;A201;1
104600475;18;A34;A43;1245.0;A61;A73;4.0;A94;A101;2.0;A123;33;A152;1;A173;A201;2
104600476;18;A30;A42;3114.0;A61;A72;1.0;A92;A101;4.0;A122;26;A151;1;A173;A201;2
104600477;39;A32;A41;2569.0;A63;A73;4.0;A93;A101;4.0;A123;24;A152;1;A173;A201;1
104600478;24;A32;A43;5152.0;A61;A74;4.0;A93;A101;2.0;A123;25;A152;1;A173;A201;1
104600479;12;A32;A49;1037.0;A62;A74;3.0;A93;A101;4.0;A121;39;A152;1;A172;A201;1
104600480;15;A34;A42;1478.0;A61;A75;4.0;A93;A101;4.0;A123;44;A152;2;A173;A201;1
104600481;12;A34;A43;3573.0;A61;A73;1.0;A92;A101;1.0;A121;23;A152;1;A172;A201;1
104600482;24;A32;A40;1201.0;A61;A72;4.0;A93;A101;1.0;A122;26;A152;1;A173;A201;1
104600483;30;A32;A42;3622.0;A64;A75;4.0;A92;A101;4.0;A122;57;A151;2;A173;A201;1
104600484;15;A33;A42;960.0;A64;A74;3.0;A92;A101;2.0;A122;30;A152;2;A173;A201;1
104600485;12;A34;A40;1163.0;A63;A73;4.0;A93;A101;4.0;A121;44;A152;1;A173;A201;1
104600486;6;A33;A40;1209.0;A61;A71;4.0;A93;A101;4.0;A122;47;A152;1;A174;A201;2
104600487;12;A32;A43;3077.0;A61;A73;2.0;A93;A101;4.0;A123;52;A152;1;A173;A201;1
104600488;24;A32;A40;3757.0;A61;A75;4.0;A92;A102;4.0;A124;62;A153;1;A173;A201;1
104600489;10;A32;A40;1418.0;A62;A73;3.0;A93;A101;2.0;A121;35;A151;1;A172;A202;1
104600490;6;A32;A40;3518.0;A61;A73;2.0;A93;A103;3.0;A122;26;A151;1;A173;A201;1
104600491;12;A34;A43;1934.0;A61;A75;2.0;A93;A101;2.0;A124;26;A152;2;A173;A201;1
104600492;27;A30;A49;8318.0;A61;A75;2.0;A92;A101;4.0;A124;42;A153;2;A174;A201;2
104600493;6;A34;A43;1237.0;A62;A73;1.0;A92;A101;1.0;A122;27;A152;2;A173;A201;1
104600494;6;A32;A43;368.0;A65;A75;4.0;A93;A101;4.0;A122;38;A152;1;A173;A201;1
104600495;12;A34;A40;2122.0;A61;A73;3.0;A93;A101;2.0;A121;39;A151;2;A172;A202;1
104600496;24;A32;A42;2996.0;A65;A73;2.0;A94;A101;4.0;A123;20;A152;1;A173;A201;2
104600497;36;A32;A42;9034.0;A62;A72;4.0;A93;A102;1.0;A124;29;A151;1;A174;A201;2
104600498;24;A34;A42;1585.0;A61;A74;4.0;A93;A101;3.0;A122;40;A152;2;A173;A201;1
